MkLeo,0.184,222927,Ike
ESAM,0.186,19622,Pikachu
Samsora,0.188,7648,Peach
Tweek,0.195,15768,Wario
Dabuz,0.2,4702,Olimar
VoiD,0.209,23277,Pichu
MVD,0.213,21460,Snake
Charliedaking,0.222,14352,Fox
Nairo,0.223,16104,Palutena
Elegant,0.238,39146,Luigi
Light,0.247,158871,Fox
CaptainZack,0.253,47734,Peach
Eon,0.255,152585,Pichu
Cosmos,0.266,64466,Inkling
Glutonny,0.272,6122,Wario
Larry Lurr,0.278,1035,Fox
Ally,0.28,7287,Snake
BestNess,0.283,28679,Ness
Marss,0.289,39206,Zero Suit Samus
Myran,0.291,24641,Olimar
Salem,0.295,54178,Link
Xzax,0.3,14350,Inkling
ZD,0.308,30253,Fox
Captain L,0.311,13982,Pichu
K9sbruce,0.316,14419,Wolf
Klaatu,0.317,22478,Olimar
TLTC,0.32,13637,Palutena
Stroder,0.324,48920,Lucina
ImHip,0.328,25499,Olimar
Rich Brown,0.328,31168,Olimar
Armada,0.328,6189,Inkling
Zenyou,0.329,21831,Mario
Lui$,0.331,173403,Fox
Sinji,0.332,61591,Pac-Man
Trevonte,0.333,29577,Palutena
Ki,0.334,172072,Snake
Magister,0.341,48511,Incineroar
Konga,0.343,65019,Donkey Kong
<Geki/ZAKI>,0.344,984694,King Dedede
T,0.346,216405,Link
Leffen,0.35,4465,Pokemon Trainer
SDX,0.353,270293,Mewtwo
Ez,0.355,38250,
Big D,0.357,21504,King Dedede
Blank,0.363,57924,Chrom
falln,0.365,23736,Inkling
Pandarian,0.37,150284,Meta Knight
8BitMan,0.377,24835,R.O.B.
Kobe,0.382,55138,Pokemon Trainer
NAKAT,0.382,5914,Inkling
Fatality,0.385,15921,Captain Falcon
saj.,0.389,24655,Peach
La Luna,0.39,4507,Palutena
Dark Wizzy,0.391,249838,Mario
Rishi,0.395,13306,Pichu
MuteAce,0.398,44865,Peach
Tyrant,0.398,14406,Cloud
tamim,0.398,71191,Bayonetta
Rideae,0.398,29780,Pikachu
WokerX,0.413,134092,
Nicko,0.415,33941,Shulk
Dynomyte,0.415,29886,
Teb,0.417,30911,Mario
Zex,0.418,29380,Sheik
Slither2Hunter,0.418,14456,Meta Knight
Ito,0.418,31562,Meta Knight
Legit,0.419,31593,Richter
Locus,0.419,49473,Ridley
Sandfall,0.42,351927,
ewok,0.428,30050,
Rio,0.429,27154,
Spiderivas,0.429,681955,
Akashic,0.432,29388,Greninja
twerkmastr,0.432,39977,
Arikie,0.433,174902,
sonicmega,0.436,24715,
Shinta,0.44,24702,
Radda Radda,0.443,65445,
Kofi,0.444,183353,
Armando,0.445,61918,
Justice,0.447,40583,
dyr,0.449,29773,
Mr E,0.45,15889,Lucina
FullStream,0.45,220023,
ANTi,0.453,23257,
Mikee,0.454,173504,
Shaky,0.455,29602,
Von,0.458,27255,
Mudomo,0.461,18628,
Mr. Riddle,0.461,31554,
BlueRay,0.462,428430,
Firefly,0.464,19818,
Wes,0.466,38104,
MrConCon,0.468,14365,Luigi
pu55yk1ng,0.468,40427,Little Mac
Schrader The Toolbag,0.468,432879,
Rice,0.471,29479,
Wizzrobe,0.473,1028,
SST_Yamanyon,0.474,984672,
Shogun,0.474,159539,Snake
Toronto Joe,0.475,819924,
Tremendo Dude,0.475,38810,
Charger,0.476,36556,
Jitio,0.48,31118,
Epic_Gabriel,0.483,436376,
Len,0.484,12276,
Enki,0.484,37506,
Athena,0.484,39291,
MattyG,0.485,46189,
Muffin from Mars,0.485,214431,
Jtails,0.487,13564,Toon Link
Mage,0.488,31753,
Hungrybox,0.489,1004,
Taternator,0.491,14338,
Ako,0.495,28532,
Riz,0.499,16071,
Churro,0.499,30078,
Soronie,0.499,22720,
Pellonian,0.5,22561,
Mew2King,0.501,1003,
Jimmy,0.501,131229,
GT Smiley,0.502,41727,
RockstarAce,0.505,393814,
t0mMii,0.505,38974,
player 4,0.506,39740,
Temptation,0.509,136033,
Rags,0.509,26150,Meta Knight
Kobazco,0.509,31584,
Jumpsteady,0.511,39390,
Ur-n8kedgrandma,0.515,279574,
Ned,0.516,39054,
<boreasu>,0.519,984554,
Kantrip,0.523,27227,
Hitaku,0.524,27263,
STEELIX,0.525,182912,
Nurse,0.525,45557,
GAY,0.525,260428,
Cero,0.525,53481,
Duwang,0.526,71127,
Crow,0.526,40423,
UR2SLOW,0.526,173303,
Solo,0.526,136509,
Bladewise,0.526,1032,
Phuzix,0.527,206240,
Seibrik,0.528,1738,
Sin,0.53,40169,
Izzy,0.532,451900,
Irakaz,0.534,131043,
Zeta,0.534,30117,
Jazara,0.537,27378,
Xmas,0.539,19729,
BAM,0.541,13743,
Goblin,0.541,57020,
Chronicle,0.542,54042,
Noa,0.543,24545,
Jehtt,0.544,24541,
KiraFlax,0.547,13907,Pit
Vincessant,0.548,12365,
Snarkie,0.548,185962,
Jucchan,0.549,47757,
FedVsRafa,0.549,30075,
Nesk,0.552,568073,
Zion,0.552,31526,
Cynarchy,0.554,178470,
Mali,0.554,30802,
Maiko,0.557,33903,
KidG,0.562,24410,
Kswz,0.564,14331,
edman,0.564,13903,
Peon,0.565,278490,
TKbreezy,0.565,23185,Lucina
HugS,0.637,1036,Mii Gunner
